timestamp,x,y,z
0,2.31,5.09,11.34
10,2.41,5.18,11.54
20,2.68,5.24,11.87
30,2.82,5.32,12.28
40,2.94,5.44,12.68
50,2.96,5.58,12.82
60,2.76,5.62,12.65
70,2.57,5.56,12.17
80,2.4,5.55,11.76
90,2.28,5.53,11.7
100,2.21,5.58,11.87
110,2.27,5.47,11.97
120,2.44,5.5,11.87
130,2.3,5.35,11.48
140,1.88,5.31,10.92
150,1.47,5.2,10.33
160,1.13,5.21,9.88
170,1.19,5.17,9.6
180,1.61,4.91,9.46
190,1.94,4.65,9.22
200,2.05,4.31,8.68
210,1.97,3.98,7.98
220,1.75,3.7,7.25
230,1.54,3.62,6.49
240,1.41,3.17,5.72
250,1.33,3.08,5.1
260,1.64,2.85,4.74
270,2.19,2.54,4.14
280,2.63,2.11,3.11
290,2.99,1.85,2.24
300,3.49,1.56,1.25
310,3.99,1.32,0.35
320,4.54,1.04,-0.38
330,5.14,0.71,-0.91
340,5.46,0.51,-1.19
350,5.42,0.35,-1.32
360,5.41,0.17,-1.37
370,5.22,0.05,-1.35
380,4.73,-0.07,-1.37
390,4.17,-0.4,-1.42
400,3.92,-0.93,-1.36
410,3.94,-1.67,-1.18
420,3.93,-2.34,-0.82
430,3.67,-2.9,-0.08
440,3.22,-3.38,0.71
450,2.6,-3.71,1.5
460,2.01,-4.21,2.12
470,1.36,-4.79,2.69
480,0.73,-5.33,3.64
490,0.32,-5.75,4.76
500,-0.05,-6.25,5.74
510,-0.57,-6.74,6.41
520,-1.15,-7.18,6.84
530,-1.22,-7.98,6.91
540,-1.35,-8.95,7.08
550,-1.42,-9.95,7.81
560,-1.48,-10.67,9.5
570,-1.6,-11.37,11.93
580,-0.92,-10.8,15.25
590,0.36,-10.74,19.74
600,0.83,-9.9,23.35
610,0.63,-9.36,25.03
620,-0.15,-9.02,24.96
630,-0.97,-8.83,23.49
640,-1.36,-8.79,21.67
650,-1.46,-8.65,20.11
660,-1.38,-8.55,19.63
670,-1.74,-8.13,19.26
680,-2.27,-7.76,19.3
690,-2.08,-7.47,19.39
700,-1.81,-7.33,18.97
710,-1.9,-7.15,18.44
720,-1.92,-6.85,17.84
730,-1.86,-6.64,17.31
740,-2.04,-6.6,16.6
750,-2.33,-6.59,15.71
760,-2.29,-6.78,15.05
770,-1.76,-7.13,14.71
780,-1.46,-7.23,14.96
790,-1.44,-7.14,15.58
800,-1.3,-7.04,16.36
810,-1.0,-6.98,17.26
820,-0.37,-7.13,17.83
830,0.3,-7.47,17.94
840,0.73,-7.73,18.17
850,0.87,-7.8,18.41
860,1.36,-8.0,18.78
870,2.44,-8.23,19.48
880,3.27,-8.31,20.42
890,3.37,-8.32,20.88
900,3.44,-8.25,21.21
910,3.27,-8.23,21.12
920,2.93,-8.26,20.73
930,2.58,-8.37,19.97
940,1.91,-8.49,18.87
950,0.97,-8.41,17.63
960,-0.0,-8.17,16.41
970,-0.77,-8.05,14.99
980,-1.02,-8.03,13.35
990,-1.1,-7.87,11.74
1000,-1.44,-7.32,10.05
