timestamp,x,y,z
0,7.83,6.32,2.78
10,7.5,6.42,2.67
20,7.04,6.49,2.44
30,6.72,6.58,2.22
40,6.58,6.75,2.17
50,6.52,6.77,2.15
60,6.65,6.62,1.99
70,6.88,6.4,1.79
80,7.0,6.19,1.46
90,6.98,6.05,1.21
100,6.97,6.02,1.17
110,6.88,6.01,1.25
120,6.83,6.04,1.28
130,6.9,6.01,1.3
140,6.99,5.87,1.05
150,7.18,5.66,0.68
160,7.17,5.46,0.2
170,6.97,5.26,-0.41
180,6.41,5.09,-1.02
190,5.7,4.9,-1.52
200,5.2,4.72,-1.75
210,4.8,4.41,-1.74
220,4.58,4.15,-1.46
230,4.43,3.94,-0.73
240,4.63,3.65,0.34
250,5.17,3.18,0.86
260,5.47,3.07,1.85
270,5.74,2.64,2.21
280,5.26,1.83,1.86
290,4.11,1.01,1.29
300,3.14,0.08,1.36
310,2.35,-1.02,1.64
320,2.17,-1.99,1.92
330,2.13,-3.08,2.58
340,2.02,-3.92,3.74
350,1.87,-4.59,5.56
360,2.87,-5.09,7.35
370,4.49,-5.32,8.59
380,6.27,-5.68,9.16
390,7.45,-5.96,9.35
400,6.85,-5.68,9.37
410,5.1,-5.61,8.99
420,3.32,-6.23,7.95
430,1.44,-7.12,6.97
440,1.33,-8.69,6.26
450,2.37,-9.97,6.97
460,3.57,-10.92,8.31
470,3.97,-11.42,9.79
480,3.87,-12.15,10.48
490,3.53,-12.38,11.27
500,4.03,-12.74,12.75
510,6.19,-12.96,14.25
520,7.72,-12.88,15.5
530,7.95,-12.84,15.9
540,8.32,-12.86,15.64
550,7.22,-12.9,14.15
560,4.77,-12.92,11.34
570,1.88,-12.79,8.98
580,0.43,-12.49,7.17
590,0.48,-12.04,7.31
600,2.07,-11.64,8.31
610,3.22,-10.98,9.62
620,3.76,-10.73,10.03
630,3.77,-10.77,9.06
640,2.82,-10.85,7.54
650,2.35,-10.54,6.41
660,1.44,-10.24,5.46
670,1.13,-9.89,5.06
680,1.04,-9.49,5.29
690,1.59,-9.36,5.6
700,2.09,-9.26,5.78
710,3.35,-9.61,5.44
720,4.39,-10.05,5.02
730,5.39,-10.54,5.08
740,6.26,-10.98,5.48
750,6.77,-11.46,5.83
760,7.32,-11.99,6.14
770,7.48,-12.39,6.59
780,7.6,-13.09,6.5
790,7.1,-13.32,6.22
800,6.93,-13.66,6.09
810,8.43,-13.96,6.35
820,11.38,-14.26,7.16
830,13.99,-14.77,8.15
840,15.53,-15.3,9.21
850,16.15,-16.04,10.16
860,14.28,-16.79,10.62
870,11.1,-17.19,10.44
880,7.38,-16.94,10.6
890,3.74,-16.47,9.82
900,0.61,-15.02,9.06
910,0.18,-13.38,8.29
920,1.33,-11.82,6.74
930,1.75,-10.66,4.65
940,2.14,-9.57,3.44
950,3.59,-8.0,4.69
960,4.95,-6.2,7.68
970,5.86,-4.79,10.42
980,5.7,-4.14,11.63
990,5.42,-4.38,10.36
1000,4.45,-4.48,7.09
