timestamp,x,y,z
0,-1.63,8.44,9.04
10,-1.79,8.65,9.47
20,-1.78,8.81,9.69
30,-1.68,8.91,9.85
40,-1.39,8.99,9.9
50,-1.0,8.98,9.92
60,-0.7,8.85,9.82
70,-0.4,8.51,9.45
80,-0.38,8.21,9.0
90,-0.44,8.03,8.66
100,-0.56,7.93,8.28
110,-0.86,7.9,8.03
120,-0.98,7.83,7.91
130,-0.92,7.69,7.87
140,-0.91,7.52,7.89
150,-0.81,7.29,7.86
160,-0.65,7.05,7.6
170,-0.44,6.88,7.21
180,-0.23,6.7,6.79
190,-0.0,6.5,6.27
200,0.23,6.29,5.93
210,0.55,6.06,5.72
220,0.66,5.83,5.41
230,0.76,5.63,4.99
240,0.84,5.43,4.65
250,0.98,5.24,4.3
260,1.18,5.1,3.9
270,1.33,4.87,3.43
280,1.31,4.64,2.96
290,1.32,4.39,2.42
300,1.49,4.15,2.01
310,1.87,3.73,1.68
320,2.32,3.55,1.28
330,2.49,3.37,1.22
340,2.75,3.09,1.42
350,3.09,3.0,1.95
360,2.77,3.06,2.46
370,2.22,3.06,2.82
380,1.98,2.77,2.94
390,2.35,2.2,2.93
400,2.91,1.7,2.97
410,3.78,1.12,3.03
420,4.64,0.61,2.72
430,4.38,0.48,2.25
440,3.49,0.26,2.02
450,2.63,-0.09,1.47
460,1.38,-0.12,1.07
470,0.38,-0.12,0.67
480,-0.13,-0.4,0.25
490,-0.07,-0.96,0.01
500,0.24,-1.64,-0.18
510,-0.2,-2.11,0.14
520,-0.37,-2.98,0.98
530,0.03,-3.95,2.49
540,-0.02,-4.02,5.42
550,-0.64,-3.34,8.63
560,-1.61,-2.84,11.43
570,-1.74,-2.91,13.38
580,-0.94,-3.73,14.22
590,-0.83,-4.91,13.77
600,-2.14,-5.9,12.98
610,-4.74,-5.86,12.36
620,-6.85,-7.42,12.86
630,-8.11,-6.18,13.49
640,-10.02,-7.66,15.09
650,-11.44,-7.27,17.88
660,-11.32,-6.61,20.91
670,-10.84,-6.04,22.77
680,-10.54,-5.79,23.63
690,-10.34,-5.53,23.17
700,-10.09,-5.55,22.16
710,-9.55,-5.37,21.08
720,-9.24,-5.15,20.25
730,-9.03,-4.76,19.64
740,-8.29,-4.62,18.93
750,-7.79,-4.5,17.99
760,-7.62,-4.42,16.98
770,-7.06,-4.41,16.11
780,-6.42,-4.38,15.27
790,-7.36,-4.41,14.71
800,-5.66,-4.39,13.95
810,-5.15,-4.3,13.42
820,-4.88,-4.35,12.94
830,-4.53,-4.41,12.42
840,-4.59,-4.3,11.99
850,-4.79,-4.13,11.48
860,-5.03,-4.09,11.02
870,-5.23,-4.07,10.73
880,-5.49,-4.13,10.59
890,-5.8,-4.25,10.62
900,-6.11,-4.12,11.18
910,-6.23,-4.09,12.17
920,-5.66,-4.32,13.19
930,-5.28,-4.12,14.49
940,-4.82,-3.95,16.16
950,-3.34,-3.92,18.32
960,-1.67,-4.12,20.23
970,-1.25,-4.43,21.3
980,-2.4,-4.41,21.69
990,-3.09,-4.48,22.4
1000,-3.17,-4.64,22.79
