timestamp,x,y,z
0,0.46,8.3,6.25
10,0.51,8.27,6.0
20,0.75,8.14,5.54
30,1.05,8.03,4.92
40,1.19,7.82,4.33
50,1.16,7.56,3.78
60,1.18,7.19,3.28
70,1.42,6.71,2.87
80,1.62,6.19,2.51
90,1.48,5.56,2.05
100,1.23,4.83,1.66
110,1.08,4.28,1.39
120,1.09,3.86,1.11
130,1.41,3.62,0.85
140,1.88,3.31,0.59
150,2.08,3.07,0.46
160,2.38,2.81,0.81
170,2.75,2.43,1.31
180,2.94,1.99,1.79
190,3.04,1.49,2.23
200,3.3,0.87,2.45
210,3.76,0.39,2.09
220,3.88,0.09,1.31
230,3.15,0.01,0.46
240,1.86,0.01,0.0
250,0.72,-0.17,-0.22
260,0.05,-0.6,0.01
270,-0.43,-0.85,0.64
280,-0.5,-0.9,1.4
290,-0.81,-0.82,2.05
300,-1.57,-0.89,2.66
310,-2.72,-1.12,3.62
320,-4.04,-1.32,5.6
330,-5.03,-1.53,8.07
340,-5.41,-1.36,9.75
350,-5.77,-1.14,10.68
360,-6.69,-0.89,10.86
370,-7.72,-0.86,10.37
380,-9.09,-2.95,10.78
390,-9.54,-0.55,10.88
400,-12.62,-1.03,11.8
410,-15.96,0.77,13.64
420,-16.38,1.76,15.76
430,-14.66,2.05,16.82
440,-13.44,1.95,16.42
450,-13.37,1.51,15.49
460,-13.93,1.35,14.48
470,-15.24,1.67,14.26
480,-16.38,2.22,14.89
490,-16.69,2.72,15.87
500,-16.41,3.17,16.88
510,-15.67,3.13,17.16
520,-14.71,2.87,16.3
530,-13.82,2.33,14.85
540,-13.33,2.0,13.63
550,-13.04,1.78,12.69
560,-12.59,1.5,12.02
570,-12.05,1.41,11.38
580,-11.48,1.19,10.59
590,-11.01,1.03,9.66
600,-10.72,0.87,8.89
610,-10.29,0.74,8.39
620,-9.78,0.55,7.93
630,-9.42,0.42,7.44
640,-9.24,0.33,6.88
650,-9.15,0.24,6.56
660,-9.02,0.18,6.61
670,-8.81,0.13,6.87
680,-8.47,0.09,7.81
690,-8.15,0.4,9.22
700,-8.22,0.68,10.51
710,-8.47,0.65,10.97
720,-8.5,0.37,11.26
730,-8.19,0.18,11.83
740,-8.09,-0.02,12.3
750,-8.52,-0.01,12.45
760,-8.85,-0.01,12.96
770,-9.12,0.17,14.03
780,-9.43,0.56,15.85
790,-9.51,0.96,17.52
800,-9.06,1.07,18.72
810,-8.24,0.91,19.53
820,-7.37,0.48,19.81
830,-7.02,-0.01,19.21
840,-7.28,-0.45,17.82
850,-8.02,-0.6,16.35
860,-8.48,-0.75,14.84
870,-8.57,-0.83,13.63
880,-8.47,-1.02,12.79
890,-8.42,-1.26,12.18
900,-8.53,-1.21,11.83
910,-8.62,-1.2,11.45
920,-8.6,-1.2,10.89
930,-8.54,-1.2,9.84
940,-8.52,-1.12,8.8
950,-8.54,-0.96,8.05
960,-8.4,-0.97,7.72
970,-8.12,-1.0,7.44
980,-8.03,-0.9,7.15
990,-7.73,-0.71,6.34
1000,-7.48,-0.4,5.59
