timestamp,x,y,z
0,2.63,5.24,10.38
10,2.56,5.32,10.82
20,2.27,5.47,11.12
30,1.86,5.55,11.23
40,1.41,5.75,11.32
50,1.03,5.96,11.58
60,0.77,6.2,12.09
70,0.75,6.43,12.83
80,1.02,6.55,13.54
90,1.61,6.32,13.81
100,2.15,5.9,13.51
110,2.21,5.78,13.23
120,1.94,5.72,12.99
130,1.32,5.67,12.54
140,0.74,5.66,12.16
150,0.48,5.61,11.89
160,0.58,5.49,11.59
170,0.79,5.32,11.4
180,0.89,5.09,11.08
190,0.79,4.89,10.69
200,0.8,4.7,10.37
210,1.0,4.3,9.99
220,1.47,3.77,9.29
230,1.95,3.35,8.7
240,2.45,3.21,8.28
250,2.75,3.11,7.58
260,2.95,2.82,6.43
270,3.27,2.58,4.83
280,3.53,2.32,3.15
290,3.75,2.19,1.79
300,4.03,2.11,0.96
310,4.41,2.03,0.5
320,4.85,1.88,0.06
330,5.32,1.75,-0.62
340,5.79,1.08,-1.26
350,6.11,0.76,-1.81
360,6.12,0.62,-2.28
370,5.66,0.66,-2.46
380,5.18,0.76,-2.42
390,5.04,0.64,-2.28
400,5.23,0.34,-1.92
410,5.34,-0.09,-1.42
420,5.41,-0.6,-0.99
430,5.14,-1.12,-0.74
440,4.54,-1.58,-0.55
450,3.82,-2.14,-0.18
460,3.14,-2.81,0.23
470,2.57,-3.48,0.71
480,1.99,-4.29,1.28
490,1.36,-5.1,2.13
500,0.69,-5.78,3.28
510,-0.01,-6.45,4.46
520,-0.79,-6.71,5.72
530,-1.34,-7.13,7.17
540,-1.4,-7.79,8.28
550,-1.07,-8.57,9.34
560,-0.31,-9.5,11.16
570,0.6,-9.87,13.51
580,1.58,-10.19,15.58
590,1.23,-10.46,16.5
600,1.17,-10.62,17.89
610,0.21,-10.29,20.57
620,-0.91,-9.51,23.44
630,-1.42,-8.6,25.69
640,-1.62,-8.25,26.31
650,-1.04,-8.0,25.66
660,-0.37,-8.17,23.72
670,-0.07,-8.2,21.43
680,-0.74,-8.03,19.64
690,-1.79,-7.58,18.21
700,-2.65,-6.97,17.13
710,-2.82,-6.59,16.41
720,-2.67,-6.27,15.72
730,-2.6,-5.85,14.92
740,-2.54,-5.45,14.37
750,-2.15,-5.22,14.0
760,-1.45,-5.18,13.84
770,-0.96,-5.14,13.87
780,-0.49,-5.19,14.03
790,0.07,-5.39,13.89
800,0.24,-5.5,13.7
810,-0.3,-5.59,13.36
820,-0.76,-5.6,13.37
830,-0.84,-5.75,13.76
840,-0.5,-6.0,14.24
850,0.33,-6.58,14.69
860,1.49,-7.06,15.38
870,2.12,-7.23,16.49
880,2.36,-7.36,17.32
890,3.04,-7.8,17.46
900,4.02,-8.45,17.18
910,5.08,-9.05,17.32
920,6.36,-9.39,18.44
930,7.68,-9.65,19.9
940,8.45,-9.89,21.23
950,8.53,-10.24,21.8
960,8.08,-10.52,21.41
970,7.03,-10.63,20.33
980,5.57,-10.64,19.14
990,4.24,-10.61,18.0
1000,2.95,-10.3,17.25
