timestamp,x,y,z
0,2.62,6.99,6.59
10,2.97,6.97,7.28
20,3.14,6.93,7.67
30,2.95,6.83,7.4
40,2.69,6.64,6.65
50,2.42,6.41,5.77
60,2.19,6.14,5.16
70,2.09,5.85,4.94
80,2.04,5.54,4.87
90,2.08,5.11,4.75
100,2.2,4.58,4.44
110,2.25,4.07,3.89
120,2.22,3.64,3.2
130,2.16,3.31,2.48
140,2.07,3.1,1.82
150,2.1,2.84,1.29
160,2.35,2.41,0.89
170,2.65,1.95,0.74
180,2.79,1.45,0.65
190,3.06,0.87,0.82
200,3.27,0.23,0.84
210,3.29,-0.41,0.77
220,3.32,-0.93,0.77
230,3.04,-1.32,1.05
240,2.4,-1.61,2.01
250,1.53,-1.83,3.03
260,0.81,-2.19,3.64
270,0.41,-2.82,3.86
280,0.18,-3.65,3.6
290,-0.0,-4.48,3.5
300,0.22,-5.19,3.86
310,0.97,-6.09,4.29
320,1.17,-6.96,5.05
330,0.72,-7.58,6.85
340,0.59,-7.89,9.37
350,1.48,-7.97,12.42
360,2.79,-7.86,14.81
370,3.94,-7.66,16.21
380,3.37,-7.53,16.45
390,1.71,-7.8,15.35
400,-0.91,-9.45,11.89
410,-1.5,-11.0,10.22
420,-2.02,-12.62,8.43
430,-4.27,-12.81,11.9
440,-4.63,-12.13,20.8
450,-0.3,-11.03,29.76
460,6.88,-10.02,34.76
470,11.73,-9.46,35.31
480,11.88,-9.42,31.74
490,8.88,-9.74,26.36
500,5.55,-9.93,21.35
510,3.31,-9.87,16.67
520,1.27,-9.59,12.27
530,-0.27,-8.82,8.99
540,-1.56,-8.19,8.74
550,-2.47,-7.25,7.98
560,-2.64,-6.7,9.74
570,-2.28,-6.02,11.5
580,-1.02,-5.77,12.62
590,0.85,-5.86,12.74
600,2.81,-6.15,11.88
610,3.15,-6.34,10.72
620,2.3,-6.26,10.08
630,1.19,-6.11,9.62
640,0.72,-6.07,9.35
650,0.87,-6.11,9.21
660,1.19,-6.13,9.35
670,1.32,-6.04,9.76
680,1.27,-6.03,10.35
690,1.34,-5.96,10.98
700,2.53,-6.24,11.91
710,4.26,-6.74,12.66
720,5.71,-7.32,13.2
730,6.12,-7.84,13.64
740,5.81,-8.19,14.27
750,5.49,-8.42,14.79
760,5.86,-8.65,15.15
770,6.5,-8.83,15.39
780,7.14,-9.04,16.38
790,7.82,-8.76,17.04
800,8.12,-8.68,18.45
810,8.32,-8.62,19.38
820,8.36,-8.84,19.3
830,7.82,-9.15,18.48
840,6.8,-9.18,17.61
850,5.83,-9.0,16.93
860,5.17,-8.82,16.1
870,4.55,-8.36,15.06
880,3.95,-7.8,14.3
890,3.2,-7.14,13.85
900,3.16,-6.54,14.08
910,3.42,-6.15,13.99
920,3.41,-6.02,13.31
930,3.42,-5.93,12.31
940,2.9,-5.56,11.71
950,2.05,-4.97,11.42
960,1.48,-4.42,11.36
970,1.65,-4.04,11.54
980,2.24,-3.8,11.47
990,2.79,-3.79,10.82
1000,2.42,-3.82,9.13
