timestamp,x,y,z
0,-1.79,1.97,2.41
10,-1.27,2.22,3.08
20,-0.68,2.69,3.66
30,0.57,3.32,3.92
40,1.68,4.03,3.98
50,2.67,4.8,3.77
60,3.47,5.09,3.34
70,3.74,5.21,2.74
80,3.1,4.99,2.36
90,2.24,4.92,1.96
100,2.37,5.2,1.64
110,2.71,5.58,1.81
120,3.12,6.1,2.47
130,3.7,6.56,3.35
140,4.09,7.3,4.32
150,4.76,7.81,4.84
160,5.52,8.12,4.33
170,5.75,8.13,3.61
180,5.72,8.1,3.66
190,5.77,8.36,4.85
200,6.5,8.93,6.34
210,7.75,9.44,7.17
220,8.86,10.0,7.22
230,9.56,10.31,7.41
240,9.53,10.34,8.36
250,8.93,10.0,10.76
260,8.06,9.83,13.19
270,8.25,9.96,14.1
280,9.98,10.6,13.01
290,12.56,11.21,11.77
300,14.36,11.18,10.92
310,13.53,10.41,11.4
320,10.4,8.66,13.48
330,7.67,6.93,15.05
340,5.9,5.72,16.43
350,6.18,5.27,17.37
360,7.43,5.4,17.37
370,7.72,4.91,17.27
380,6.92,4.0,17.64
390,4.64,2.46,18.2
400,0.72,0.54,19.67
410,-2.21,-0.86,21.33
420,-3.0,-1.03,22.55
430,-1.29,-0.14,22.13
440,0.41,0.39,20.44
450,0.42,0.38,19.57
460,-0.96,-0.23,19.91
470,-2.42,-0.86,21.05
480,-3.51,-1.37,22.33
490,-4.16,-1.74,22.66
500,-5.28,-1.99,21.92
510,-6.53,-2.56,20.95
520,-7.17,-3.07,20.22
530,-7.48,-2.79,19.56
540,-6.65,-2.76,19.64
550,-6.42,-2.66,19.42
560,-5.93,-2.33,19.45
570,-5.28,-2.14,19.51
580,-4.68,-1.96,18.94
590,-4.41,-2.0,17.51
600,-4.84,-2.25,16.21
610,-5.7,-2.53,15.39
620,-6.35,-3.03,14.69
630,-6.6,-2.75,13.6
640,-5.52,-2.52,12.36
650,-4.42,-2.26,11.16
660,-3.28,-1.62,10.23
670,-2.09,-1.05,10.18
680,-1.47,-0.87,11.12
690,-1.48,-1.02,12.98
700,-1.38,-1.17,14.1
710,-1.36,-1.37,14.09
720,-1.44,-1.39,13.54
730,-1.56,-0.93,12.68
740,-1.57,-0.25,11.76
750,-1.19,0.57,10.67
760,-0.8,0.99,9.73
770,-0.89,0.87,9.23
780,-1.32,0.54,9.48
790,-1.69,0.23,10.32
800,-2.09,0.01,11.1
810,-2.21,-0.12,11.66
820,-1.65,-0.18,11.23
830,-1.41,-0.23,10.28
840,-1.46,-0.29,9.3
850,-1.85,-0.35,8.85
860,-2.1,-0.4,9.19
870,-2.1,-0.18,9.31
880,-1.83,0.02,9.07
890,-1.34,0.4,8.51
900,-0.58,0.88,7.64
910,-0.33,1.41,6.64
920,-0.64,1.92,5.87
930,-1.14,2.2,6.28
940,-1.79,2.32,7.07
950,-2.22,2.41,7.77
960,-2.2,2.37,7.93
970,-2.09,2.26,7.68
980,-1.56,2.41,6.91
990,-0.85,2.83,5.76
1000,-0.28,3.27,4.44
