timestamp,x,y,z
0,-2.32,-3.04,-1.47
10,-0.94,-2.56,-4.32
20,-0.37,-2.17,-6.86
30,-0.89,-2.56,-8.05
40,-0.65,-3.22,-8.03
50,0.75,-3.44,-8.08
60,2.07,-3.49,-9.38
70,3.79,-3.44,-11.47
80,6.47,-2.84,-14.37
90,9.55,-1.88,-18.09
100,12.13,-0.87,-21.68
110,13.44,-1.72,-21.86
120,13.84,-1.24,-23.75
130,15.76,-2.08,-22.94
140,16.95,-4.46,-20.23
150,18.43,-5.9,-18.75
160,21.0,-7.54,-16.69
170,23.06,-9.72,-13.6
180,24.48,-11.38,-9.78
190,25.52,-12.35,-5.75
200,26.09,-12.25,-2.49
210,25.87,-12.33,0.32
220,25.82,-11.34,2.33
230,26.18,-9.96,2.28
240,25.32,-9.94,1.83
250,24.69,-10.29,2.74
260,25.01,-10.63,4.52
270,25.52,-11.49,7.27
280,25.97,-12.42,10.44
290,25.74,-13.24,13.64
300,25.34,-13.47,16.36
310,24.97,-13.99,19.08
320,24.1,-14.41,20.84
330,22.81,-14.32,20.97
340,21.94,-14.1,20.32
350,21.08,-13.71,19.59
360,19.89,-13.19,19.09
370,18.11,-12.71,18.79
380,16.18,-12.12,18.43
390,14.14,-11.57,18.0
400,12.96,-10.49,16.86
410,12.52,-9.67,15.25
420,11.2,-8.81,13.61
430,9.65,-8.11,12.63
440,8.26,-7.56,12.08
450,7.49,-7.25,11.84
460,6.63,-7.1,11.86
470,5.28,-7.05,12.19
480,3.85,-7.05,12.35
490,3.17,-6.63,11.98
500,3.17,-6.07,11.19
510,2.55,-5.71,10.6
520,1.59,-5.5,10.38
530,0.89,-5.37,10.41
540,0.32,-5.2,10.24
550,-0.34,-4.97,10.23
560,-0.23,-4.74,10.01
570,0.08,-4.32,9.44
580,-0.11,-4.23,8.99
590,-0.14,-4.14,8.86
600,0.16,-4.03,8.49
610,0.43,-3.98,7.75
620,0.59,-3.88,6.43
630,0.53,-3.73,4.72
640,0.13,-3.49,2.93
650,-0.51,-3.38,1.24
660,-0.4,-2.89,-0.08
670,-0.23,-2.42,-0.61
680,0.12,-1.88,-0.46
690,0.59,-1.71,-0.28
700,0.87,-1.73,-0.53
710,0.66,-1.97,-1.19
720,-0.02,-2.01,-2.4
730,-0.87,-1.9,-3.63
740,-1.01,-1.67,-4.41
750,-0.73,-1.49,-4.44
760,-0.24,-1.29,-4.24
770,-0.33,-1.4,-4.02
780,-0.31,-1.47,-3.86
790,-0.1,-1.63,-4.47
800,0.5,-1.44,-5.92
810,1.13,-0.95,-8.41
820,1.21,-0.13,-11.69
830,1.13,0.64,-13.76
840,1.15,0.94,-13.49
850,1.59,0.91,-11.55
860,2.5,0.91,-9.81
870,3.93,1.09,-9.44
880,5.51,1.17,-10.29
890,7.3,0.95,-12.2
900,7.58,2.59,-13.5
910,8.34,1.8,-13.45
920,9.37,1.76,-13.32
930,10.37,2.43,-12.77
940,11.11,2.9,-12.06
950,11.77,3.28,-11.2
960,12.48,3.43,-10.59
970,13.46,3.62,-10.15
980,14.53,3.63,-9.84
990,15.23,3.6,-9.6
1000,15.46,3.57,-9.06
