timestamp,x,y,z
0,-10.61,-4.75,1.35
10,-10.15,-4.65,1.38
20,-9.63,-4.55,1.46
30,-8.69,-4.2,1.76
40,-7.74,-3.77,2.68
50,-7.22,-3.38,3.72
60,-6.54,-2.83,4.32
70,-5.45,-2.16,4.19
80,-4.51,-1.54,3.56
90,-4.09,-1.11,3.26
100,-4.08,-0.91,3.27
110,-4.41,-0.96,3.57
120,-4.43,-0.82,3.99
130,-4.34,-0.43,4.57
140,-3.83,0.25,4.99
150,-3.17,0.89,5.04
160,-2.66,1.31,4.9
170,-2.12,1.6,4.59
180,-1.82,1.58,4.19
190,-1.87,1.46,3.76
200,-2.19,1.58,3.58
210,-2.0,2.15,3.75
220,-1.3,2.72,3.49
230,-0.49,3.19,2.88
240,0.85,3.8,2.89
250,1.75,4.04,3.63
260,2.37,3.96,4.13
270,2.81,3.73,4.4
280,3.23,3.74,4.14
290,3.92,4.33,3.61
300,4.89,5.17,3.57
310,6.18,6.01,3.79
320,7.45,6.56,4.13
330,8.71,6.83,4.27
340,10.43,7.12,4.56
350,11.47,7.17,5.95
360,11.12,7.2,7.49
370,10.19,7.69,8.51
380,10.05,8.45,9.35
390,10.52,9.17,9.66
400,10.87,9.28,9.68
410,11.33,8.95,9.4
420,11.9,8.91,9.73
430,12.03,8.94,11.26
440,10.08,8.88,13.75
450,7.77,8.48,17.57
460,6.05,8.47,19.6
470,5.77,8.62,18.43
480,6.27,8.65,16.33
490,7.31,8.39,15.22
500,7.73,8.71,15.51
510,6.08,8.28,17.06
520,3.34,7.36,18.94
530,1.36,6.9,20.65
540,0.84,6.81,21.33
550,1.46,6.94,20.14
560,2.57,7.06,18.61
570,3.36,6.64,17.56
580,3.57,5.97,17.03
590,3.28,5.14,17.31
600,3.01,4.23,17.48
610,3.3,3.35,17.37
620,3.57,2.51,17.76
630,2.9,1.43,17.97
640,2.32,0.56,17.77
650,1.19,-0.25,17.4
660,-0.79,-1.11,17.9
670,-2.41,-1.75,18.25
680,-3.29,-2.21,18.38
690,-3.36,-2.5,17.98
700,-2.89,-2.62,16.71
710,-2.9,-2.98,15.37
720,-3.44,-3.51,14.51
730,-4.02,-3.91,14.25
740,-4.1,-4.05,14.51
750,-4.3,-3.98,15.36
760,-5.04,-4.05,16.88
770,-5.83,-4.25,17.78
780,-6.13,-4.26,18.54
790,-6.3,-4.24,19.12
800,-6.83,-4.09,19.78
810,-6.74,-3.69,19.41
820,-6.59,-3.19,17.6
830,-6.28,-2.6,15.43
840,-5.54,-1.99,13.62
850,-4.77,-1.38,12.59
860,-3.72,-0.96,12.16
870,-3.05,-0.64,12.23
880,-2.58,-0.32,12.67
890,-2.15,-0.03,12.86
900,-2.19,0.39,12.84
910,-2.64,0.57,12.91
920,-3.51,0.38,13.38
930,-4.48,0.15,13.12
940,-5.71,-0.3,12.28
950,-6.05,-0.59,11.27
960,-5.99,-0.7,10.11
970,-5.91,-0.73,8.8
980,-5.75,-0.76,7.65
990,-5.63,-0.64,6.94
1000,-5.58,-0.38,6.68
