timestamp,x,y,z
0,-10.1,-2.82,4.33
10,-8.99,-2.57,3.7
20,-7.57,-2.17,3.07
30,-6.36,-1.7,2.88
40,-5.54,-1.21,2.86
50,-5.42,-0.92,2.98
60,-5.38,-0.74,3.09
70,-5.37,-0.61,3.13
80,-5.04,-0.3,2.89
90,-4.07,0.18,2.46
100,-3.2,0.58,2.36
110,-2.9,0.88,2.89
120,-3.08,0.95,3.83
130,-3.46,0.83,4.76
140,-4.01,0.71,5.33
150,-4.3,0.84,5.37
160,-4.1,1.37,5.07
170,-3.51,2.06,4.42
180,-2.75,2.57,3.8
190,-2.49,2.74,3.62
200,-2.54,2.87,4.13
210,-2.9,2.58,4.91
220,-3.16,2.41,5.04
230,-3.42,2.79,5.06
240,-2.82,3.47,4.92
250,-2.0,3.98,4.27
260,-1.1,4.41,3.38
270,-0.16,4.71,2.93
280,0.43,4.74,3.07
290,0.59,4.42,3.3
300,0.56,4.08,3.64
310,0.77,3.98,3.73
320,1.45,4.27,3.65
330,2.55,4.82,4.0
340,3.58,4.92,4.47
350,4.61,5.31,4.96
360,6.21,5.59,5.87
370,8.15,5.97,6.8
380,9.81,6.3,7.78
390,10.29,6.43,8.38
400,9.59,6.57,8.09
410,8.32,6.61,8.28
420,7.57,6.57,8.25
430,7.3,6.78,8.84
440,7.55,6.93,9.78
450,7.78,7.18,10.66
460,8.4,7.63,11.13
470,8.79,7.97,11.6
480,7.64,7.86,13.29
490,5.62,7.42,15.51
500,4.25,7.18,17.03
510,4.39,7.58,17.34
520,5.91,7.92,17.31
530,7.93,8.38,17.01
540,10.09,8.58,16.42
550,10.89,8.24,16.24
560,10.07,7.35,16.75
570,8.46,6.15,17.51
580,6.73,5.08,18.25
590,5.9,4.36,18.31
600,5.99,4.01,17.91
610,6.93,3.57,17.01
620,7.34,2.8,16.56
630,6.34,1.6,17.32
640,4.9,0.5,18.13
650,3.97,-0.12,18.63
660,3.54,-0.34,18.61
670,3.43,-0.62,17.71
680,3.34,-1.11,15.93
690,3.24,-1.86,13.97
700,2.34,-3.15,12.4
710,0.85,-4.17,11.58
720,0.44,-5.4,13.1
730,0.3,-6.03,15.27
740,-0.86,-6.24,16.7
750,-2.41,-5.98,19.69
760,-3.46,-5.9,22.83
770,-5.04,-5.51,24.62
780,-5.8,-6.16,24.29
790,-6.54,-7.34,22.22
800,-7.24,-7.72,19.1
810,-7.5,-7.54,17.48
820,-7.9,-7.07,18.39
830,-7.94,-6.44,19.43
840,-7.23,-5.52,19.44
850,-5.73,-4.69,18.75
860,-4.71,-4.52,17.41
870,-4.39,-4.87,15.84
880,-4.56,-5.23,15.12
890,-4.77,-5.4,14.98
900,-4.17,-4.96,15.36
910,-3.0,-4.34,15.73
920,-2.09,-3.81,16.12
930,-1.59,-3.51,15.94
940,-1.54,-3.45,15.26
950,-2.38,-3.67,14.2
960,-3.2,-3.8,13.14
970,-3.66,-3.79,12.13
980,-4.3,-3.83,11.26
990,-4.64,-3.68,11.0
1000,-4.74,-3.64,10.85
