timestamp,x,y,z
0,-10.95,-0.75,2.43
10,-11.29,-0.88,3.03
20,-11.43,-1.0,3.61
30,-11.53,-1.12,4.04
40,-11.41,-1.2,3.91
50,-11.18,-1.1,3.39
60,-10.7,-0.85,3.02
70,-10.15,-0.67,2.83
80,-9.63,-0.53,2.47
90,-9.04,-0.41,2.03
100,-8.63,-0.51,1.72
110,-8.52,-0.63,1.8
120,-8.2,-0.69,1.93
130,-7.9,-0.57,2.14
140,-7.34,-0.42,2.38
150,-6.68,-0.15,2.55
160,-6.0,0.08,2.72
170,-5.51,0.32,2.99
180,-5.41,0.3,3.31
190,-5.81,0.48,3.54
200,-5.68,0.72,3.5
210,-5.12,1.02,3.03
220,-4.58,1.34,2.63
230,-4.36,1.53,2.66
240,-4.15,1.45,2.74
250,-3.72,1.24,2.77
260,-3.68,0.68,3.25
270,-4.38,0.07,4.03
280,-4.16,0.2,4.32
290,-2.75,0.77,4.36
300,-0.4,1.76,4.37
310,2.15,2.67,4.58
320,4.08,3.26,4.66
330,5.01,3.15,4.7
340,4.99,3.01,5.01
350,4.72,2.72,5.41
360,4.7,3.11,5.43
370,5.7,3.79,5.47
380,6.88,4.68,5.71
390,8.27,5.38,5.53
400,9.83,5.63,4.36
410,11.35,5.81,3.87
420,12.8,6.06,5.02
430,13.0,6.14,7.94
440,12.05,6.13,11.77
450,11.37,6.34,14.37
460,11.5,6.9,14.92
470,12.51,7.59,13.75
480,14.22,8.04,11.3
490,14.33,8.13,10.28
500,13.06,7.32,12.62
510,11.36,6.28,15.95
520,10.59,5.79,17.95
530,11.84,6.19,17.67
540,14.37,7.06,16.07
550,16.92,7.81,14.14
560,17.21,7.95,12.39
570,14.34,6.09,13.63
580,10.91,4.12,15.35
590,7.19,2.29,17.62
600,5.65,1.63,19.43
610,6.58,1.95,18.76
620,8.72,2.79,16.22
630,10.26,3.22,13.81
640,8.65,1.99,14.54
650,6.12,0.29,16.62
660,4.25,-0.77,17.8
670,3.32,-1.02,18.73
680,2.94,-1.01,18.79
690,1.13,-1.77,18.85
700,-1.57,-2.77,19.82
710,-4.15,-3.71,21.52
720,-4.98,-3.96,22.94
730,-3.64,-3.44,23.12
740,-1.94,-2.98,22.77
750,-0.07,-2.9,24.77
760,1.25,-2.53,24.88
770,1.88,-1.98,24.04
780,2.48,-1.59,23.11
790,2.57,-1.81,21.68
800,1.86,-2.61,19.69
810,0.32,-3.55,18.37
820,-1.65,-4.33,17.61
830,-3.35,-4.43,17.15
840,-3.72,-3.7,16.38
850,-3.28,-2.39,15.62
860,-1.95,-1.45,14.87
870,-0.95,-1.51,14.27
880,-0.55,-1.92,14.6
890,-0.89,-2.64,14.93
900,-1.62,-3.43,14.51
910,-2.56,-3.93,13.31
920,-3.02,-3.84,11.59
930,-3.22,-3.5,9.88
940,-3.45,-3.14,8.76
950,-3.87,-2.69,9.11
960,-3.83,-2.31,10.85
970,-3.76,-2.14,13.35
980,-4.02,-2.09,15.69
990,-4.11,-2.06,16.27
1000,-3.44,-1.81,14.49
