timestamp,x,y,z
0,-7.72,-9.72,3.45
10,-7.86,-10.35,-0.03
20,-6.26,-10.33,-3.47
30,-4.2,-9.75,-6.47
40,-2.48,-9.22,-8.87
50,-1.13,-8.88,-11.07
60,-0.11,-8.35,-13.61
70,1.3,-7.28,-15.96
80,2.86,-6.16,-17.6
90,3.98,-5.15,-19.13
100,5.31,-4.18,-20.5
110,6.55,-3.38,-21.3
120,7.3,-2.81,-21.37
130,7.78,-2.41,-21.24
140,8.05,-2.1,-21.35
150,8.13,-1.97,-21.65
160,8.35,-2.42,-21.39
170,8.76,-3.22,-20.31
180,9.66,-3.97,-18.85
190,10.8,-4.56,-17.59
200,11.96,-5.13,-16.78
210,12.21,-6.36,-16.56
220,13.35,-7.24,-16.33
230,15.89,-8.3,-14.71
240,18.34,-9.43,-13.11
250,20.99,-10.17,-12.02
260,23.86,-10.78,-10.64
270,26.68,-10.98,-9.11
280,28.86,-11.28,-7.85
290,30.66,-11.94,-6.78
300,31.69,-13.44,-4.72
310,32.07,-15.22,-1.6
320,32.97,-16.08,2.45
330,33.92,-16.11,7.11
340,34.92,-15.13,11.06
350,34.45,-14.09,13.47
360,32.76,-13.23,14.26
370,30.97,-12.05,13.33
380,29.26,-10.86,11.21
390,27.4,-9.75,9.0
400,25.4,-9.05,7.48
410,23.24,-8.92,7.3
420,21.43,-8.77,7.39
430,19.97,-8.61,7.29
440,18.14,-8.74,7.12
450,15.26,-8.83,7.55
460,13.09,-8.62,7.87
470,11.9,-7.77,7.52
480,10.59,-7.18,7.26
490,9.21,-6.84,6.95
500,7.69,-6.83,6.7
510,5.93,-6.95,7.13
520,4.75,-6.85,7.84
530,4.52,-6.56,8.36
540,4.48,-6.41,8.92
550,4.16,-6.25,9.22
560,3.89,-5.96,9.06
570,3.64,-5.35,8.92
580,3.78,-4.37,8.34
590,4.1,-3.38,6.98
600,4.13,-2.49,5.28
610,3.92,-2.1,3.79
620,3.55,-1.94,2.99
630,2.99,-1.92,2.82
640,2.45,-1.92,3.1
650,2.54,-1.64,3.27
660,2.8,-1.25,3.31
670,2.66,-0.96,3.6
680,2.18,-0.81,4.21
690,1.85,-0.51,4.45
700,1.71,-0.38,4.16
710,1.68,-0.23,3.67
720,1.27,-0.16,2.77
730,0.74,0.1,1.67
740,0.59,0.47,0.45
750,0.85,0.91,-0.38
760,1.32,1.63,-0.81
770,1.63,2.13,-0.66
780,2.06,2.33,-0.1
790,2.51,2.32,0.24
800,2.77,2.15,0.19
810,3.03,2.07,-0.4
820,3.11,2.43,-2.11
830,2.81,3.0,-4.36
840,2.45,3.55,-6.24
850,2.02,3.95,-6.83
860,1.96,4.18,-6.45
870,1.71,3.87,-5.37
880,1.6,3.58,-4.05
890,1.84,3.45,-3.32
900,1.85,3.33,-3.04
910,1.64,3.22,-3.04
920,1.86,3.26,-3.75
930,2.03,3.31,-4.96
940,1.73,3.21,-6.06
950,1.32,3.22,-6.81
960,1.32,3.35,-7.27
970,1.74,3.52,-7.18
980,2.21,3.48,-6.62
990,2.65,3.26,-6.03
1000,3.02,3.08,-5.8
