timestamp,x,y,z
0,7.7,5.92,4.74
10,9.05,5.67,4.6
20,9.88,5.51,4.54
30,9.9,5.39,4.74
40,9.96,5.38,4.9
50,10.05,5.1,5.17
60,10.43,4.85,5.37
70,11.09,4.63,5.48
80,12.1,4.51,5.78
90,13.48,4.48,6.32
100,14.42,4.46,6.89
110,14.35,4.44,7.21
120,13.35,4.25,7.04
130,12.18,3.93,6.8
140,10.84,3.46,6.62
150,9.26,3.1,6.8
160,7.71,2.87,7.03
170,6.41,2.72,7.11
180,5.4,2.72,7.36
190,4.44,2.81,7.81
200,3.33,3.19,8.36
210,2.49,3.48,8.75
220,2.14,3.85,8.96
230,1.94,4.18,8.92
240,1.22,4.53,8.58
250,0.11,4.76,8.09
260,-1.02,4.82,7.65
270,-2.07,5.01,7.11
280,-2.96,5.44,6.72
290,-3.91,5.86,6.54
300,-5.18,6.51,6.27
310,-6.84,6.81,6.19
320,-8.61,6.98,6.34
330,-10.13,7.1,6.65
340,-10.98,7.15,6.79
350,-11.6,7.38,7.03
360,-12.01,7.93,7.07
370,-12.57,7.98,6.9
380,-13.16,7.8,6.71
390,-13.76,7.59,6.42
400,-14.54,7.33,6.08
410,-15.03,6.79,5.69
420,-15.09,6.56,5.09
430,-14.52,6.4,4.75
440,-13.59,6.38,4.7
450,-12.62,6.55,4.59
460,-11.72,6.49,4.44
470,-10.51,6.38,4.53
480,-8.64,6.3,4.99
490,-6.71,5.98,6.12
500,-5.73,5.91,7.62
510,-5.42,5.93,8.78
520,-4.94,5.77,9.19
530,-4.14,5.56,8.6
540,-3.55,5.39,7.41
550,-2.98,4.89,6.13
560,-2.27,4.53,5.3
570,-1.0,4.02,5.25
580,0.42,3.71,6.07
590,1.62,3.77,7.53
600,2.49,4.19,8.71
610,2.95,4.7,9.06
620,2.46,4.82,8.21
630,1.41,4.64,6.42
640,1.26,4.18,4.88
650,2.92,3.33,4.96
660,5.68,3.05,6.51
670,8.67,3.4,9.62
680,10.29,4.48,13.31
690,10.8,4.83,15.57
700,10.62,6.21,15.34
710,9.87,5.25,12.68
720,9.39,4.71,10.16
730,9.26,4.14,8.71
740,10.29,3.75,8.7
750,11.93,3.47,9.77
760,12.36,3.77,11.38
770,12.58,4.15,13.05
780,12.9,4.25,13.95
790,12.75,4.18,14.05
800,12.47,3.87,13.39
810,11.83,3.63,12.45
820,11.05,3.4,11.45
830,10.16,2.87,10.36
840,9.33,2.49,9.61
850,9.01,1.75,9.61
860,8.83,1.71,10.18
870,8.61,1.58,10.94
880,8.54,1.95,11.48
890,8.66,1.59,11.71
900,8.69,1.53,11.83
910,8.69,1.27,11.72
920,8.77,0.93,11.08
930,8.94,0.28,10.62
940,8.81,-0.07,10.21
950,8.42,-0.29,9.95
960,7.94,-0.44,9.94
970,7.5,-0.57,9.9
980,7.04,-0.72,9.96
990,7.12,-0.74,10.29
1000,7.33,-0.67,10.65
