timestamp,x,y,z
0,9.15,0.78,4.14
10,10.37,0.23,3.52
20,11.91,-0.23,2.88
30,14.12,-0.7,2.41
40,16.52,-1.37,1.87
50,18.29,-2.04,1.55
60,18.99,-2.52,1.7
70,18.57,-2.65,2.26
80,17.71,-2.71,3.37
90,17.09,-2.8,4.62
100,16.54,-2.89,5.6
110,15.9,-3.03,6.21
120,14.97,-3.17,6.49
130,14.3,-3.4,6.68
140,13.35,-3.35,6.85
150,11.98,-3.08,7.07
160,10.52,-2.77,7.38
170,9.0,-2.43,7.77
180,7.34,-2.02,7.97
190,5.98,-1.54,8.27
200,4.71,-1.01,8.75
210,3.77,-0.62,8.98
220,2.87,-0.24,9.1
230,1.9,0.17,9.3
240,0.45,0.65,9.68
250,-1.2,1.2,10.18
260,-2.83,2.05,10.85
270,-4.53,2.93,11.61
280,-6.6,3.39,12.25
290,-9.29,3.56,12.75
300,-12.38,3.7,13.45
310,-14.61,4.18,14.15
320,-15.36,4.65,14.4
330,-14.39,4.8,14.35
340,-12.74,4.88,14.19
350,-12.32,5.32,14.21
360,-12.9,5.3,14.13
370,-13.25,4.92,13.74
380,-13.1,4.23,12.86
390,-12.45,3.28,12.05
400,-11.8,2.34,11.5
410,-10.98,1.32,10.81
420,-10.33,0.39,10.33
430,-10.14,-0.34,9.9
440,-10.22,-0.96,9.23
450,-10.85,-1.31,9.07
460,-10.73,-1.6,10.0
470,-8.94,-2.22,11.05
480,-6.74,-3.09,11.47
490,-4.64,-3.97,11.36
500,-3.07,-4.29,10.86
510,-2.09,-4.0,10.47
520,-1.45,-3.5,9.96
530,-0.52,-3.33,9.23
540,0.72,-3.63,8.41
550,2.84,-4.16,7.71
560,5.07,-4.59,7.4
570,7.46,-5.07,7.39
580,9.54,-5.08,8.26
590,11.28,-4.83,9.62
600,12.81,-4.55,11.17
610,13.94,-4.27,12.47
620,14.89,-3.93,13.26
630,16.07,-3.95,13.37
640,17.61,-4.27,12.67
650,19.57,-4.57,11.89
660,21.19,-4.55,11.68
670,21.72,-4.42,11.61
680,21.87,-4.4,11.36
690,22.17,-4.47,11.36
700,22.19,-4.44,11.36
710,21.61,-4.38,10.85
720,21.54,-4.97,10.3
730,21.61,-5.3,9.7
740,21.72,-5.87,9.26
750,21.41,-6.32,8.95
760,21.08,-6.82,8.8
770,20.53,-7.44,8.85
780,19.31,-8.19,8.87
790,17.83,-8.85,8.95
800,16.01,-9.31,9.1
810,14.31,-9.78,9.37
820,13.12,-10.2,9.47
830,11.69,-10.39,9.59
840,10.07,-10.51,9.69
850,8.21,-10.52,9.12
860,6.08,-10.44,8.4
870,3.96,-9.93,7.85
880,1.34,-9.17,7.47
890,-1.43,-8.27,7.21
900,-3.55,-7.78,6.93
910,-5.34,-7.25,6.93
920,-7.32,-6.48,7.7
930,-9.59,-6.19,9.44
940,-12.11,-4.61,11.38
950,-13.36,-3.65,13.33
960,-13.4,-2.72,13.7
970,-12.97,-2.17,13.17
980,-12.45,-1.69,12.6
990,-12.94,-1.94,11.89
1000,-14.39,-2.41,11.57
