timestamp,x,y,z
0,6.06,5.07,6.77
10,5.83,5.0,6.69
20,5.49,4.99,6.68
30,5.21,4.95,6.9
40,5.46,4.76,7.13
50,6.06,4.53,7.53
60,6.99,4.24,8.0
70,8.26,3.83,8.41
80,9.27,3.39,8.68
90,10.56,2.82,8.77
100,12.07,2.29,8.54
110,13.56,1.79,8.03
120,14.52,1.28,7.25
130,14.9,0.68,6.12
140,15.54,0.07,5.18
150,16.47,-0.14,4.93
160,17.54,0.05,5.25
170,18.21,0.35,5.77
180,17.79,0.45,5.65
190,15.9,0.46,4.99
200,13.43,0.24,4.18
210,11.3,0.0,3.72
220,9.0,-0.22,3.88
230,6.65,-0.42,4.55
240,4.8,-0.45,5.76
250,2.97,-0.09,7.32
260,0.42,0.53,8.97
270,-2.5,1.32,10.38
280,-5.6,1.92,11.23
290,-8.77,2.43,11.44
300,-11.67,3.07,11.43
310,-13.85,3.49,11.35
320,-14.92,3.84,11.27
330,-15.96,4.22,11.44
340,-16.88,4.53,11.7
350,-16.91,4.95,12.11
360,-15.78,5.42,12.64
370,-14.4,5.64,12.82
380,-14.42,5.47,12.22
390,-15.46,4.75,11.03
400,-16.41,3.8,9.97
410,-16.36,2.92,9.72
420,-15.78,2.05,9.67
430,-15.03,1.18,9.48
440,-14.46,0.37,9.08
450,-14.14,-0.31,8.36
460,-13.38,-0.76,7.79
470,-12.43,-1.06,7.81
480,-10.92,-1.56,7.88
490,-8.98,-1.74,7.66
500,-6.52,-2.27,7.52
510,-4.12,-2.84,7.18
520,-2.83,-3.06,6.64
530,-1.82,-2.98,6.13
540,-0.27,-3.06,5.58
550,1.63,-3.36,4.92
560,4.54,-4.26,4.61
570,7.86,-5.05,5.21
580,11.25,-5.8,6.95
590,13.94,-5.77,9.83
600,15.48,-5.09,12.8
610,16.63,-4.28,15.33
620,18.99,-3.92,16.98
630,21.53,-4.19,17.26
640,23.24,-4.43,17.06
650,23.99,-5.04,16.52
660,24.63,-4.98,16.36
670,24.9,-4.85,16.6
680,24.92,-4.89,16.62
690,24.43,-5.35,16.29
700,23.37,-6.14,15.43
710,22.07,-7.1,14.45
720,20.37,-8.26,13.34
730,18.35,-9.0,12.7
740,16.18,-9.42,12.52
750,14.67,-10.21,12.34
760,13.46,-10.75,12.32
770,12.0,-10.88,12.42
780,10.55,-11.01,12.15
790,9.04,-10.85,11.88
800,7.34,-10.51,11.56
810,5.45,-9.82,11.35
820,3.81,-9.28,11.17
830,1.96,-8.78,11.08
840,0.62,-8.51,10.88
850,-0.92,-7.89,10.44
860,-3.06,-6.85,9.91
870,-6.17,-4.91,9.86
880,-9.96,-3.55,10.12
890,-13.08,-2.3,10.23
900,-14.11,-1.32,10.05
910,-13.2,-0.46,9.32
920,-12.49,-0.15,8.13
930,-13.42,-0.22,6.92
940,-15.06,-0.23,6.44
950,-16.46,-0.5,6.56
960,-17.31,-0.63,6.69
970,-17.32,-0.24,7.28
980,-16.32,0.53,8.06
990,-14.7,1.05,8.54
1000,-12.99,1.24,8.6
