timestamp,x,y,z
0,15.03,1.59,4.65
10,16.26,1.37,3.24
20,17.31,1.18,2.14
30,17.92,0.98,1.31
40,18.88,0.63,0.78
50,19.79,0.38,0.93
60,19.92,0.06,1.45
70,19.09,-0.49,1.95
80,17.53,-0.96,2.78
90,15.89,-1.31,3.85
100,14.5,-1.69,4.82
110,13.33,-1.94,5.71
120,12.32,-2.34,6.3
130,11.25,-2.61,6.85
140,9.93,-2.6,7.5
150,8.52,-2.5,8.16
160,7.66,-2.39,8.63
170,7.04,-2.2,9.06
180,6.17,-2.07,9.36
190,5.15,-1.9,9.66
200,3.97,-1.47,10.39
210,2.95,-1.18,10.91
220,1.82,-0.78,11.19
230,1.12,-0.26,11.54
240,0.08,0.25,11.93
250,-1.54,0.67,12.07
260,-3.44,1.19,12.11
270,-5.7,1.71,12.32
280,-7.67,2.39,12.68
290,-9.17,2.97,13.22
300,-10.12,3.37,13.77
310,-10.5,3.7,14.07
320,-10.41,3.9,14.19
330,-9.52,3.77,14.3
340,-8.53,3.74,14.51
350,-8.56,3.99,14.77
360,-9.11,4.33,14.69
370,-9.51,4.03,14.18
380,-9.89,3.68,13.45
390,-10.35,3.45,12.72
400,-10.25,2.78,11.87
410,-9.64,1.92,11.19
420,-9.17,1.21,10.88
430,-9.17,0.96,10.92
440,-9.49,0.84,10.93
450,-9.92,0.47,10.73
460,-9.81,-0.33,10.04
470,-8.98,-1.29,9.2
480,-7.92,-1.91,8.55
490,-7.48,-2.26,7.73
500,-7.34,-2.46,6.98
510,-7.24,-2.55,6.88
520,-6.15,-2.83,7.21
530,-3.94,-3.12,7.8
540,-1.56,-3.06,8.36
550,0.3,-2.83,8.69
560,1.42,-2.68,8.88
570,3.37,-2.87,8.94
580,6.09,-2.99,9.3
590,8.66,-2.88,9.79
600,9.59,-2.31,10.1
610,9.37,-2.2,9.47
620,9.64,-2.68,8.43
630,11.54,-3.15,8.51
640,13.82,-3.15,9.95
650,15.28,-2.73,11.79
660,15.97,-2.09,13.36
670,16.41,-1.83,13.77
680,16.6,-2.03,13.27
690,16.6,-2.23,12.54
700,17.14,-2.82,11.64
710,18.29,-3.23,11.2
720,19.14,-3.81,11.46
730,18.86,-3.57,11.83
740,19.07,-3.73,12.65
750,18.86,-4.06,13.25
760,17.83,-4.32,13.54
770,16.58,-4.77,13.63
780,14.97,-5.07,13.52
790,13.28,-5.28,13.47
800,11.6,-5.25,13.71
810,10.08,-5.13,14.03
820,9.18,-5.17,14.27
830,8.88,-5.29,14.47
840,8.95,-5.37,14.53
850,9.32,-5.4,14.43
860,8.95,-5.57,14.31
870,7.28,-5.69,13.87
880,5.12,-5.76,13.4
890,2.3,-5.73,13.01
900,-0.51,-5.26,12.88
910,-1.72,-4.74,12.76
920,-1.73,-4.06,12.49
930,-1.58,-3.14,11.65
940,-0.73,-2.59,10.36
950,-0.01,-2.32,9.26
960,-0.56,-2.45,8.45
970,-1.92,-2.58,8.53
980,-4.0,-2.85,8.84
990,-6.33,-2.73,9.14
1000,-8.1,-2.13,9.47
