timestamp,x,y,z
0,7.31,3.76,6.28
10,7.39,3.59,5.94
20,7.14,3.33,5.5
30,7.32,2.95,5.21
40,8.18,2.48,4.98
50,9.33,2.03,4.7
60,10.74,1.43,4.28
70,12.2,0.8,3.99
80,13.86,0.02,4.01
90,14.99,-0.38,4.4
100,15.13,-0.44,5.12
110,14.61,-0.4,5.82
120,14.18,-0.32,6.38
130,13.93,-0.37,6.7
140,13.62,-0.51,7.02
150,13.7,-0.49,7.48
160,13.79,-0.36,8.13
170,13.38,-0.12,8.79
180,12.13,0.09,9.41
190,10.47,0.27,9.91
200,8.25,0.25,10.05
210,5.8,0.3,9.9
220,3.18,0.54,9.72
230,0.7,0.73,9.42
240,-1.51,1.08,9.06
250,-3.75,1.52,8.79
260,-6.2,2.06,8.84
270,-8.43,2.64,9.16
280,-10.08,3.22,9.64
290,-10.66,3.62,10.24
300,-10.33,3.72,10.84
310,-9.58,3.85,11.53
320,-9.68,4.13,12.37
330,-10.17,4.26,12.84
340,-10.58,4.31,12.94
350,-10.72,4.34,12.61
360,-10.31,4.35,11.58
370,-9.34,3.98,10.19
380,-9.16,3.58,8.93
390,-10.01,3.2,8.06
400,-10.95,2.66,7.7
410,-11.41,1.89,7.76
420,-11.71,1.22,8.12
430,-11.86,0.72,8.41
440,-11.64,0.65,8.18
450,-10.82,1.03,8.09
460,-9.98,0.94,7.92
470,-8.74,0.55,7.4
480,-6.79,-0.21,6.48
490,-4.7,-1.13,5.69
500,-3.15,-2.05,4.89
510,-2.45,-2.46,4.45
520,-2.53,-1.99,5.43
530,-2.73,-1.47,7.14
540,-2.46,-0.89,9.08
550,-1.18,-0.71,10.87
560,2.36,-0.99,11.92
570,6.58,-1.36,12.5
580,9.53,-1.02,13.37
590,11.21,-0.39,14.35
600,12.64,-0.42,14.45
610,12.99,-0.76,14.13
620,13.14,-1.4,13.79
630,13.16,-1.87,14.11
640,13.59,-2.45,14.99
650,14.18,-2.49,15.86
660,14.19,-2.82,16.01
670,15.32,-3.28,17.01
680,16.77,-3.54,18.11
690,18.1,-3.88,19.13
700,18.53,-4.71,19.22
710,18.14,-5.88,18.54
720,17.21,-6.84,17.77
730,15.87,-7.37,17.15
740,14.0,-7.51,16.71
750,12.35,-7.65,16.07
760,10.66,-7.65,15.31
770,9.06,-7.67,14.34
780,8.04,-7.77,13.3
790,7.07,-7.81,12.36
800,5.32,-7.59,11.64
810,4.45,-7.44,11.3
820,3.98,-6.76,11.18
830,3.43,-6.15,11.48
840,2.96,-5.35,11.95
850,2.51,-4.83,12.27
860,2.03,-4.5,12.4
870,0.23,-4.25,12.04
880,-1.75,-4.01,11.24
890,-3.36,-3.59,10.13
900,-4.04,-3.36,9.05
910,-4.92,-3.17,8.22
920,-5.96,-2.83,7.77
930,-7.01,-2.34,7.86
940,-7.87,-1.88,8.15
950,-9.4,-1.64,8.51
960,-11.31,-1.5,8.7
970,-13.0,-1.09,8.71
980,-13.69,-0.75,8.61
990,-13.44,-0.45,8.23
1000,-12.22,-0.31,7.52
