timestamp,x,y,z
0,9.96,3.18,5.99
10,11.58,2.88,5.53
20,12.95,2.51,5.21
30,13.86,2.2,5.11
40,14.46,1.73,5.26
50,14.74,1.58,5.72
60,14.42,1.59,6.01
70,13.64,1.59,6.1
80,12.67,1.5,6.2
90,11.86,1.37,6.34
100,11.11,1.41,6.58
110,10.17,1.71,6.82
120,9.13,1.94,7.01
130,8.22,2.09,7.12
140,7.26,2.21,7.24
150,6.45,2.21,7.43
160,6.16,1.95,7.9
170,5.94,2.42,8.52
180,5.59,2.71,8.91
190,4.7,3.2,8.84
200,3.6,3.23,8.54
210,2.71,3.46,8.14
220,2.04,3.5,7.58
230,1.83,3.39,7.3
240,1.89,3.39,7.44
250,1.5,3.54,7.83
260,0.66,3.84,8.54
270,-0.26,4.28,9.3
280,-1.29,4.65,9.83
290,-2.35,4.64,10.02
300,-3.39,4.66,10.18
310,-4.37,4.74,10.32
320,-5.31,4.83,10.29
330,-6.37,5.03,10.36
340,-7.35,5.52,10.49
350,-8.07,5.91,10.69
360,-8.24,5.95,10.73
370,-8.21,5.9,10.89
380,-8.24,5.67,11.08
390,-8.0,5.15,11.01
400,-7.63,4.82,10.65
410,-7.56,4.85,10.5
420,-7.75,4.75,10.25
430,-8.12,4.59,10.03
440,-8.46,4.39,9.99
450,-8.45,4.02,9.9
460,-8.58,3.32,9.69
470,-8.67,2.66,9.54
480,-8.43,1.93,9.38
490,-8.17,1.31,9.29
500,-7.42,0.92,9.27
510,-6.48,0.93,9.42
520,-5.81,0.82,9.75
530,-5.89,1.17,10.18
540,-5.77,0.94,10.1
550,-5.12,0.18,9.56
560,-4.42,-0.53,8.88
570,-3.31,-0.83,8.59
580,-1.9,-0.66,8.61
590,-0.53,-0.51,8.72
600,0.59,-0.34,8.78
610,1.43,-0.49,8.51
620,2.32,-1.02,7.93
630,4.03,-1.79,7.87
640,6.74,-2.51,8.67
650,9.32,-2.56,10.26
660,10.68,-1.85,12.13
670,10.9,-1.22,13.41
680,10.99,-1.34,13.39
690,11.62,-1.47,12.97
700,12.46,-1.68,12.56
710,13.37,-2.06,12.02
720,14.14,-2.43,11.78
730,14.41,-2.54,11.88
740,14.24,-2.68,11.97
750,14.3,-3.08,12.04
760,14.45,-3.28,12.44
770,14.15,-3.16,13.24
780,13.71,-3.17,13.85
790,13.86,-3.29,14.22
800,14.43,-3.71,14.13
810,14.4,-4.22,13.64
820,13.97,-4.78,13.24
830,13.67,-5.2,13.3
840,13.18,-5.41,13.56
850,11.99,-5.37,13.93
860,10.62,-5.26,14.07
870,9.11,-5.26,13.76
880,7.57,-5.25,13.21
890,6.24,-5.49,12.45
900,5.22,-5.56,12.0
910,4.94,-5.66,11.79
920,5.07,-5.83,11.7
930,5.46,-5.78,11.61
940,5.57,-5.45,11.51
950,5.04,-4.99,11.25
960,4.37,-4.63,10.73
970,3.3,-4.35,10.09
980,2.11,-4.27,9.24
990,1.1,-4.2,8.3
1000,0.07,-3.95,7.55
