timestamp,x,y,z
0,15.53,-4.79,1.67
10,15.03,-5.26,1.72
20,14.84,-5.73,2.42
30,14.43,-5.95,3.44
40,13.65,-6.15,4.43
50,12.71,-6.03,5.5
60,11.28,-5.55,6.77
70,9.71,-5.12,7.95
80,7.92,-4.77,8.81
90,6.39,-4.67,9.33
100,5.15,-4.32,9.72
110,3.46,-3.57,10.76
120,1.98,-2.53,12.58
130,0.4,-1.58,14.49
140,-1.74,-0.46,16.15
150,-4.46,0.3,16.7
160,-7.31,1.19,16.49
170,-10.25,2.2,15.86
180,-12.72,3.19,15.02
190,-14.81,3.97,14.3
200,-16.82,4.41,14.23
210,-17.74,4.88,15.05
220,-17.86,5.92,16.39
230,-16.96,6.95,17.34
240,-14.92,7.52,17.21
250,-12.98,7.48,15.74
260,-11.61,7.13,13.6
270,-11.22,6.88,11.93
280,-10.81,6.47,10.78
290,-9.98,5.95,10.41
300,-8.93,5.57,10.42
310,-8.12,5.47,10.82
320,-7.25,5.04,11.44
330,-6.75,4.35,11.96
340,-6.78,3.51,12.49
350,-6.94,2.43,12.72
360,-6.73,1.41,12.9
370,-6.05,0.82,12.81
380,-5.06,0.24,12.26
390,-3.78,-0.44,11.7
400,-3.32,-1.15,10.93
410,-4.04,-1.42,9.91
420,-5.42,-1.85,8.88
430,-6.45,-2.34,7.65
440,-6.03,-2.76,6.68
450,-4.27,-3.24,6.27
460,-1.63,-3.31,6.76
470,1.52,-3.07,7.8
480,5.05,-2.64,9.14
490,7.88,-2.18,9.8
500,9.0,-1.65,10.18
510,10.24,-1.24,10.87
520,12.13,-1.13,11.52
530,14.08,-0.77,12.38
540,15.47,-0.05,13.24
550,15.75,0.31,13.13
560,15.31,0.51,12.37
570,15.24,-0.59,11.17
580,16.71,-1.39,10.21
590,18.4,-1.67,10.84
600,18.44,-1.25,13.06
610,17.59,-0.81,15.32
620,17.94,-0.62,16.71
630,18.63,-0.75,17.12
640,18.4,-1.04,16.28
650,17.29,-1.98,14.55
660,16.21,-3.06,12.9
670,15.74,-4.32,11.89
680,15.87,-5.4,11.84
690,16.07,-5.65,12.95
700,16.52,-5.72,14.23
710,16.86,-5.63,14.88
720,16.82,-5.59,15.11
730,16.25,-5.84,14.94
740,15.12,-6.06,14.96
750,13.47,-6.05,14.99
760,12.21,-6.01,14.91
770,10.89,-6.03,14.3
780,9.41,-5.76,13.44
790,7.98,-5.21,12.29
800,6.88,-4.61,11.38
810,5.86,-4.07,10.99
820,4.24,-3.7,10.76
830,2.26,-3.57,11.0
840,0.4,-3.71,11.37
850,-1.31,-3.65,11.66
860,-2.89,-3.37,11.55
870,-4.3,-2.73,11.22
880,-5.45,-1.86,11.21
890,-6.81,-1.25,11.07
900,-8.43,-0.9,10.6
910,-9.55,-0.8,9.93
920,-9.88,-1.31,9.29
930,-10.12,-2.05,8.85
940,-10.07,-1.91,9.37
950,-9.88,-1.42,10.39
960,-10.39,-0.6,11.7
970,-10.64,0.53,13.15
980,-9.98,1.36,13.67
990,-8.99,1.46,12.9
1000,-8.27,1.14,11.37
