timestamp,x,y,z
0,14.4,0.48,1.04
10,16.48,0.08,1.04
20,17.44,0.0,1.27
30,17.7,0.01,0.94
40,17.89,-0.22,0.21
50,18.17,-0.74,-0.51
60,18.48,-1.08,-0.37
70,18.59,-1.27,0.67
80,18.14,-1.28,1.82
90,17.36,-1.3,2.88
100,15.95,-1.42,3.84
110,13.97,-1.48,4.64
120,11.7,-1.55,5.36
130,8.89,-1.2,6.31
140,6.31,-0.84,7.36
150,4.45,-0.46,8.36
160,3.04,0.08,9.16
170,1.42,0.69,9.99
180,-0.25,1.42,10.69
190,-1.46,2.13,11.17
200,-2.61,2.82,11.34
210,-4.06,3.34,11.34
220,-5.34,3.75,11.41
230,-6.15,4.3,11.61
240,-6.53,4.81,12.05
250,-6.8,5.16,12.45
260,-7.44,5.61,12.73
270,-8.5,6.17,13.15
280,-9.19,6.46,13.45
290,-8.88,6.42,13.39
300,-8.13,6.33,13.04
310,-7.97,6.19,12.69
320,-8.36,6.1,12.33
330,-9.21,6.02,11.95
340,-10.2,5.78,11.37
350,-10.95,5.19,10.84
360,-10.89,4.62,10.84
370,-10.87,3.94,11.03
380,-10.84,3.58,11.46
390,-9.79,3.11,11.79
400,-7.87,2.69,11.94
410,-6.24,2.41,11.88
420,-5.3,2.16,11.81
430,-5.06,1.97,11.65
440,-5.41,1.57,11.12
450,-6.11,1.22,10.27
460,-6.83,1.16,9.46
470,-7.11,1.02,8.44
480,-6.52,0.91,7.73
490,-4.98,0.64,6.9
500,-3.2,0.1,5.99
510,-1.29,-0.41,5.78
520,0.59,-1.18,6.12
530,3.02,-2.3,6.94
540,7.05,-3.35,8.25
550,12.14,-3.79,9.92
560,14.99,-3.32,11.54
570,15.09,-2.65,12.28
580,14.88,-2.62,11.63
590,15.89,-2.79,10.78
600,17.88,-3.11,10.72
610,19.1,-3.18,11.41
620,19.94,-2.55,12.92
630,20.42,-3.39,13.92
640,21.15,-3.35,14.43
650,22.42,-3.65,14.96
660,23.1,-3.79,15.3
670,22.8,-4.03,14.82
680,21.8,-4.49,13.64
690,20.13,-5.18,12.12
700,18.55,-5.51,11.23
710,17.34,-5.82,10.69
720,16.1,-6.06,10.23
730,15.0,-6.01,10.14
740,14.02,-5.81,10.08
750,13.01,-5.62,9.66
760,12.19,-5.92,9.08
770,11.49,-6.05,9.02
780,11.0,-5.89,9.31
790,10.45,-5.69,9.5
800,9.85,-5.51,9.41
810,8.96,-5.52,9.21
820,7.48,-5.32,9.21
830,5.53,-5.08,9.26
840,3.55,-4.81,9.34
850,1.75,-4.14,9.62
860,0.31,-3.39,9.89
870,-0.82,-2.73,9.97
880,-2.21,-2.26,9.91
890,-3.6,-1.9,10.01
900,-4.77,-1.22,10.57
910,-5.97,-0.26,11.43
920,-6.95,0.81,12.25
930,-7.39,1.81,12.43
940,-7.89,2.76,12.14
950,-8.31,3.31,11.7
960,-8.18,3.15,10.84
970,-7.97,2.18,9.55
980,-7.4,1.17,8.84
990,-6.2,0.54,9.21
1000,-5.48,0.74,11.09
