timestamp,x,y,z
0,8.35,2.39,5.33
10,9.56,2.15,4.95
20,10.64,2.0,4.15
30,11.4,1.74,3.35
40,13.03,1.58,2.43
50,14.55,1.08,1.86
60,15.76,0.57,1.79
70,16.82,0.26,2.22
80,17.65,-0.05,3.07
90,17.94,-0.51,3.98
100,17.25,-0.9,4.98
110,15.87,-1.24,6.07
120,14.39,-1.38,6.92
130,13.02,-1.47,7.47
140,11.85,-1.54,7.62
150,10.56,-1.54,7.67
160,9.03,-1.51,7.86
170,7.56,-1.35,8.27
180,5.88,-1.1,8.71
190,4.0,-0.86,9.22
200,2.38,-0.69,9.51
210,0.69,-0.24,9.7
220,-1.26,0.2,9.74
230,-3.14,0.88,9.61
240,-4.66,1.58,9.61
250,-5.94,2.09,9.6
260,-7.39,2.55,9.86
270,-8.83,2.74,10.38
280,-9.9,2.96,11.19
290,-10.38,3.39,12.25
300,-10.66,3.69,13.12
310,-10.89,3.99,13.52
320,-11.3,4.41,13.49
330,-11.49,4.54,13.05
340,-11.15,4.26,12.15
350,-10.92,3.87,11.09
360,-10.59,3.37,10.18
370,-9.94,2.93,9.69
380,-9.22,2.33,9.69
390,-8.83,1.75,9.77
400,-8.91,1.24,9.77
410,-9.12,0.64,9.67
420,-9.75,0.19,9.78
430,-10.22,0.06,10.21
440,-9.98,-0.3,10.51
450,-9.43,-0.64,10.01
460,-8.52,-0.91,9.31
470,-7.17,-1.51,8.64
480,-5.54,-1.92,8.32
490,-3.97,-1.97,8.88
500,-2.17,-1.83,9.56
510,-0.43,-1.4,9.98
520,0.45,-1.02,9.98
530,0.66,-1.19,9.11
540,1.12,-1.64,7.84
550,2.82,-2.5,6.8
560,5.35,-3.61,6.04
570,8.1,-4.36,6.56
580,10.92,-4.7,8.34
590,13.26,-4.24,10.8
600,15.31,-3.72,13.13
610,16.93,-3.51,14.29
620,18.14,-3.85,14.26
630,19.59,-4.49,13.63
640,21.57,-4.93,13.14
650,23.49,-5.22,13.14
660,24.76,-5.19,13.79
670,25.36,-4.7,14.61
680,25.21,-5.1,14.6
690,24.1,-4.75,13.84
700,23.13,-5.27,12.81
710,21.57,-5.66,11.65
720,19.85,-6.09,10.27
730,18.02,-6.42,9.36
740,16.35,-6.77,8.57
750,14.97,-7.36,7.83
760,13.36,-7.59,7.22
770,11.5,-7.82,6.74
780,9.31,-7.88,6.27
790,7.25,-7.84,6.15
800,5.13,-7.08,6.73
810,3.33,-6.25,7.65
820,2.51,-5.76,8.39
830,2.56,-5.73,8.95
840,3.24,-5.76,9.62
850,3.02,-5.41,10.22
860,1.12,-4.82,11.05
870,-2.11,-4.16,12.09
880,-5.67,-3.71,12.72
890,-8.11,-3.16,12.8
900,-9.37,-2.86,12.32
910,-9.77,-2.63,11.59
920,-9.12,-2.08,11.28
930,-8.25,-1.51,11.37
940,-7.87,-1.46,11.48
950,-7.99,-1.42,12.1
960,-8.09,-1.35,12.73
970,-8.15,-1.26,13.21
980,-8.23,-1.2,13.43
990,-7.8,-1.12,13.39
1000,-7.3,-1.07,12.95
