timestamp,x,y,z
0,14.45,-1.05,3.22
10,15.98,-1.26,2.7
20,17.02,-1.75,1.94
30,17.51,-2.09,1.4
40,17.54,-2.55,1.1
50,17.22,-2.92,1.04
60,16.77,-3.13,1.41
70,16.38,-3.13,1.72
80,16.4,-3.18,1.87
90,16.18,-3.36,2.0
100,15.38,-3.64,1.96
110,14.28,-4.13,2.03
120,12.96,-4.33,2.55
130,11.78,-4.65,3.11
140,11.08,-4.86,3.8
150,10.38,-4.71,4.77
160,9.65,-4.55,6.22
170,9.17,-4.36,7.86
180,8.56,-4.33,9.8
190,7.69,-4.39,11.89
200,6.53,-4.2,13.83
210,4.94,-3.97,15.44
220,3.0,-3.47,16.54
230,0.83,-2.4,17.61
240,-1.66,-1.39,18.09
250,-4.24,-0.66,17.68
260,-6.89,0.14,16.8
270,-9.74,1.05,15.94
280,-12.41,1.91,15.16
290,-14.48,3.01,14.54
300,-16.03,4.09,14.1
310,-16.86,4.68,13.65
320,-16.89,4.82,13.23
330,-16.43,5.0,12.91
340,-14.99,5.42,12.77
350,-12.95,5.67,12.8
360,-11.27,5.59,12.46
370,-10.97,5.44,11.91
380,-11.67,5.13,11.22
390,-12.12,4.8,10.89
400,-11.83,4.18,10.78
410,-11.5,3.62,11.0
420,-11.48,3.23,11.47
430,-11.83,3.01,11.89
440,-12.2,2.53,11.79
450,-12.24,1.79,11.14
460,-11.89,0.9,10.16
470,-11.55,0.09,9.21
480,-11.2,-0.5,8.72
490,-9.95,-1.07,8.54
500,-7.94,-1.48,8.88
510,-5.95,-1.73,9.46
520,-4.28,-2.02,9.72
530,-2.67,-2.12,9.6
540,-1.26,-2.17,9.13
550,-1.26,-2.09,8.43
560,-1.67,-2.31,7.27
570,-0.28,-3.16,6.11
580,2.4,-3.9,5.8
590,5.46,-4.22,6.79
600,8.36,-4.26,8.39
610,10.14,-4.18,9.94
620,11.85,-4.04,11.63
630,14.49,-3.76,13.83
640,17.05,-3.21,15.66
650,18.96,-2.9,16.45
660,20.03,-2.57,15.74
670,20.67,-3.49,14.54
680,21.02,-3.87,14.03
690,20.9,-3.69,14.72
700,20.31,-3.55,15.45
710,19.17,-3.26,15.58
720,17.55,-3.15,14.87
730,16.17,-3.22,13.57
740,15.46,-3.41,12.16
750,15.09,-3.79,10.92
760,15.38,-4.31,10.11
770,15.48,-4.68,10.09
780,14.71,-4.82,10.53
790,13.9,-4.92,11.06
800,13.4,-4.86,11.49
810,12.9,-4.96,11.37
820,12.02,-5.03,10.78
830,11.15,-5.23,10.09
840,10.18,-5.32,9.76
850,8.74,-5.4,9.97
860,7.4,-5.43,10.7
870,6.3,-5.12,11.65
880,5.38,-4.85,12.45
890,4.64,-4.47,12.9
900,3.84,-4.23,13.03
910,2.86,-3.97,12.96
920,1.83,-3.8,12.57
930,0.98,-3.49,12.25
940,0.17,-3.21,11.86
950,-1.04,-2.78,11.47
960,-2.5,-2.18,11.15
970,-4.14,-1.61,10.74
980,-5.95,-1.04,10.24
990,-7.2,-0.7,9.8
1000,-8.04,-0.31,9.54
